sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:test,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
Saccharomyces cerevisiae,Saccharomyces cerevisiae detected,-1,,Organism ID,0.70,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Achromobacter sp.,Achromobacter sp. detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693309809771,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693309757298,
Streptococcus gallolyticus,Streptococcus gallolyticus detected,-1,,Organism ID,0.51,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Staphylococcus xylosus,Staphylococcus xylosus detected,-1,,Organism ID,0.48,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Salmonella chester,Salmonella chester detected,-1,,Organism ID,0.48,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Prevotella bivia,Prevotella bivia detected,-1,,Organism ID,0.33,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Enterobacter aerogenes,Enterobacter aerogenes detected,-1,,Organism ID,0.42,APPROVED,EQUAL,vvcb,1693310597533,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310588450,
Serratia fonticola,Serratia fonticola detected,-1,,Organism ID,0.42,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Bifidobacterium breve,Bifidobacterium breve detected,-1,,Organism ID,0.56,APPROVED,EQUAL,vvcb,1693310441777,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310428904,
Winkia neuii,Winkia neuii detected,-1,,Organism ID,0.29,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Citrobacter freundii,Citrobacter freundii detected,-1,,Organism ID,0.36,APPROVED,EQUAL,vvcb,1693313542919,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313531177,
Scedosporium species,Scedosporium species detected,-1,,Organism ID,0.64,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Salmonella javiana,Salmonella javiana detected,-1,,Organism ID,0.34,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Aerococcus urinae,Aerococcus urinae detected,-1,,Organism ID,0.42,APPROVED,EQUAL,vvcb,1693310121598,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310119735,
Pasteurella dagmatis,Pasteurella dagmatis detected,-1,,Organism ID,0.39,APPROVED,EQUAL,vvcb,1693313755853,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313748826,
Fusobacterium nucleatum,Fusobacterium nucleatum detected,-1,,Organism ID,0.47,APPROVED,EQUAL,vvcb,1693313788921,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313779920,
Haemolytic Streptococcus (Group A),Haemolytic Streptococcus (Group A) detected,-1,,Organism ID,0.52,APPROVED,EQUAL,vvcb,1693310714478,4047151,Beta-hemolytic Streptococcus culture,Measurement,MAPS_TO,,<auto>,1693307149760,
Enterobacter asburiae,Enterobacter asburiae detected,-1,,Organism ID,0.42,APPROVED,EQUAL,vvcb,1693310597533,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310588450,
Mycobacterium chelonae,Mycobacterium chelonae detected,-1,,Organism ID,0.50,APPROVED,EQUAL,vvcb,1693310806466,4044967,Mycobacterium identification,Measurement,MAPS_TO,,vvcb,1693310795976,
Pseudomonas koreensis,Pseudomonas koreensis detected,-1,,Organism ID,0.46,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Bacteroides fragilis,Bacteroides fragilis detected,-1,,Organism ID,0.71,APPROVED,EQUAL,vvcb,1693310280856,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310274841,
Salmonella kentucky,Salmonella kentucky detected,-1,,Organism ID,0.32,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Arcanobacterium haemolyticum,Arcanobacterium haemolyticum detected,-1,,Organism ID,0.48,APPROVED,EQUAL,vvcb,1693310359283,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310349855,
Prevotella timonensis,Prevotella timonensis detected,-1,,Organism ID,0.31,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Pseudomonas fulva,Pseudomonas fulva detected,-1,,Organism ID,0.46,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Aeromonas sp,Aeromonas sp detected,-1,,Organism ID,0.41,APPROVED,EQUAL,vvcb,1693310165224,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310154691,
Anaerococcus species,Anaerococcus species detected,-1,,Organism ID,0.53,APPROVED,EQUAL,vvcb,1693310359283,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310349855,
Klebsiella variicola,Klebsiella variicola detected,-1,,Organism ID,0.27,APPROVED,EQUAL,vvcb,1693313697576,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313685138,
Bacillus mycoides,Bacillus mycoides detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693310391558,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310382115,
Coliform,Coliform detected,-1,,Organism ID,0.75,APPROVED,EQUAL,vvcb,1693313613154,4007491,Coliform bacteria detection,Measurement,MAPS_TO,,<auto>,1693307150546,
Serratia nematodiphila,Serratia nematodiphila detected,-1,,Organism ID,0.32,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Staphylococcus borealis,Staphylococcus borealis detected,-1,,Organism ID,0.53,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Aspergillus niger complex,Aspergillus niger complex detected,-1,,Organism ID,0.66,APPROVED,EQUAL,vvcb,1693310219188,4046714,Aspergillus species culture,Measurement,MAPS_TO,,vvcb,1693310206624,
Salmonella typhi,Salmonella typhi detected,-1,,Organism ID,0.58,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Klebsiella aerogenes,Klebsiella aerogenes detected,-1,,Organism ID,0.26,APPROVED,EQUAL,vvcb,1693313697576,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313685138,
Staphylococcus capitis,Staphylococcus capitis detected,-1,,Organism ID,0.55,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Exophiala dermatitidis,Exophiala dermatitidis detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693313842358,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313836769,
Streptococcus cristatus,Streptococcus cristatus detected,-1,,Organism ID,0.56,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Corynebacterium sp.,Corynebacterium sp. detected,-1,,Organism ID,0.49,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Klebsiella pneumoniae,Klebsiella pneumoniae detected,-1,,Organism ID,0.44,APPROVED,EQUAL,vvcb,1693313697576,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313685138,
Aeromonas hydrophila,Aeromonas hydrophila detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693310165224,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310154691,
Clavispora lusitaniae,Clavispora lusitaniae detected,-1,,Organism ID,0.33,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Turicella otitidis,Turicella otitidis detected,-1,,Organism ID,0.34,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Salmonella haifa,Salmonella haifa detected,-1,,Organism ID,0.39,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Aspergillus versicolor,Aspergillus versicolor detected,-1,,Organism ID,0.70,APPROVED,EQUAL,vvcb,1693310219188,4046714,Aspergillus species culture,Measurement,MAPS_TO,,vvcb,1693310206624,
Salmonella enteritidis,Salmonella enteritidis detected,-1,,Organism ID,0.42,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Brevibacterium sp.,Brevibacterium sp. detected,-1,,Organism ID,0.39,APPROVED,EQUAL,vvcb,1693310441777,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310428904,
Acinetobacter calcoaceticus,Acinetobacter calcoaceticus detected,-1,,Organism ID,0.38,APPROVED,EQUAL,vvcb,1693309809771,37393378,Acinetobacter species screening test,Measurement,MAPS_TO,,vvcb,1693309789617,
Helicobacter pullorum,Helicobacter pullorum detected,-1,,Organism ID,0.46,APPROVED,EQUAL,vvcb,1693313871109,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313865234,
Penicillium species,Penicillium species detected,-1,,Organism ID,0.55,APPROVED,EQUAL,vvcb,1693314035938,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314030657,
Streptococcus vestibularis,Streptococcus vestibularis detected,-1,,Organism ID,0.54,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Haemophilus haemolyticus,Haemophilus haemolyticus detected,-1,,Organism ID,0.52,APPROVED,EQUAL,vvcb,1693313842358,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313836769,
Clostridium ramosum,Clostridium ramosum detected,-1,,Organism ID,0.52,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Candida albicans,Candida albicans detected,-1,,Organism ID,0.76,APPROVED,EQUAL,vvcb,1693310523466,4047152,Candida species culture,Measurement,MAPS_TO,,vvcb,1693310509389,
Salmonella newport,Salmonella newport detected,-1,,Organism ID,0.33,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Capnocytophaga canimorsus,Capnocytophaga canimorsus detected,-1,,Organism ID,0.27,APPROVED,EQUAL,vvcb,1693313542919,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313531177,
Eggerthella lenta,Eggerthella lenta detected,-1,,Organism ID,0.30,APPROVED,EQUAL,vvcb,1693313842358,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313836769,
Acinetobacter lwoffii,Acinetobacter lwoffii detected,-1,,Organism ID,0.30,APPROVED,EQUAL,vvcb,1693309809771,37393378,Acinetobacter species screening test,Measurement,MAPS_TO,,vvcb,1693309789617,
Enterococcus faecalis,Enterococcus faecalis detected,-1,,Organism ID,0.50,APPROVED,EQUAL,vvcb,1693310668513,37396493,Enterococcus culture,Measurement,MAPS_TO,,vvcb,1693310662770,
Staphylococcus haemolyticus,Staphylococcus haemolyticus detected,-1,,Organism ID,0.53,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Staphylococcus succinus,Staphylococcus succinus detected,-1,,Organism ID,0.53,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Serratia ureilytica,Serratia ureilytica detected,-1,,Organism ID,0.39,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Clostridium perfringens,Clostridium perfringens detected,-1,,Organism ID,0.71,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
,no detected bacteria,-1,,Neg. culture,0.68,APPROVED,EQUAL,vvcb,1693309809771,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693309757298,
Pseudomonas citronellolis,Pseudomonas citronellolis detected,-1,,Organism ID,0.48,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Salmonella typhimurium,Salmonella typhimurium detected,-1,,Organism ID,0.63,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Staphylococcus ureilyticus,Staphylococcus ureilyticus detected,-1,,Organism ID,0.47,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Moraxella osloensis,Moraxella osloensis detected,-1,,Organism ID,0.26,APPROVED,EQUAL,vvcb,1693313916439,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313911866,
Bacillus cereus,Bacillus cereus detected,-1,,Organism ID,0.66,APPROVED,EQUAL,vvcb,1693310228513,4008289,Bacillus cereus culture,Measurement,MAPS_TO,,<auto>,1693307153448,
Escherichia coli O157,Escherichia coli O157 detected,-1,,Organism ID,0.77,APPROVED,EQUAL,vvcb,1693310692702,4268573,Escherichia coli O157 screening test,Measurement,MAPS_TO,,<auto>,1693307153589,
Salmonella virchow,Salmonella virchow detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Fusobacterium necrophorum,Fusobacterium necrophorum detected,-1,,Organism ID,0.38,APPROVED,EQUAL,vvcb,1693313788921,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313779920,
Mycobacterium species,Mycobacterium species detected,-1,,Organism ID,0.73,APPROVED,EQUAL,vvcb,1693310806466,4044967,Mycobacterium identification,Measurement,MAPS_TO,,vvcb,1693310795976,
Actinomyces turicensis,Actinomyces turicensis detected,-1,,Organism ID,0.41,APPROVED,EQUAL,vvcb,1693309877260,4045480,Actinomycetes species culture,Measurement,MAPS_TO,,vvcb,1693309861919,
Morganella morganii,Morganella morganii detected,-1,,Organism ID,0.36,APPROVED,EQUAL,vvcb,1693313916439,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313911866,
Streptococcus salivarius,Streptococcus salivarius detected,-1,,Organism ID,0.56,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Clostridium sporogenes,Clostridium sporogenes detected,-1,,Organism ID,0.51,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Pantoea septica,Pantoea septica detected,-1,,Organism ID,0.33,APPROVED,EQUAL,vvcb,1693314002026,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313995789,
Staphylococcus saprophyticus,Staphylococcus saprophyticus detected,-1,,Organism ID,0.50,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Trichophyton interdigitale,Trichophyton interdigitale detected,-1,,Organism ID,0.63,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Salmonella infantis,Salmonella infantis detected,-1,,Organism ID,0.40,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Kluyvera species,Kluyvera species detected,-1,,Organism ID,0.44,APPROVED,EQUAL,vvcb,1693313871109,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313865234,
Fusobacterium gonidiaformans,Fusobacterium gonidiaformans detected,-1,,Organism ID,0.35,APPROVED,EQUAL,vvcb,1693313788921,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313779920,
Candida tropicalis,Candida tropicalis detected,-1,,Organism ID,0.40,APPROVED,EQUAL,vvcb,1693310523466,4047152,Candida species culture,Measurement,MAPS_TO,,vvcb,1693310509389,
? Staphylococcus,? Staphylococcus detected,-1,,Organism ID,0.45,APPROVED,EQUAL,vvcb,1693309809771,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693309757298,
Micrococcus luteus,Micrococcus luteus detected,-1,,Organism ID,0.38,APPROVED,EQUAL,vvcb,1693313887898,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313886546,
Corynebacterium accolens,Corynebacterium accolens detected,-1,,Organism ID,0.51,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Neisseria weaveri,Neisseria weaveri detected,-1,,Organism ID,0.35,APPROVED,EQUAL,vvcb,1693313983333,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313977246,
Streptococcus infantarius,Streptococcus infantarius detected,-1,,Organism ID,0.51,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Plesiomonas shigelloides,Plesiomonas shigelloides detected,-1,,Organism ID,0.38,APPROVED,EQUAL,vvcb,1693314035938,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314030657,
Streptococcus dysgalactiae (Group C or G),Streptococcus dysgalactiae (Group C or G) detected,-1,,Organism ID,0.45,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Enterobacter cloacae complex,Enterobacter cloacae complex detected,-1,,Organism ID,0.34,APPROVED,EQUAL,vvcb,1693310597533,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310588450,
Weeksella virosa,Weeksella virosa detected,-1,,Organism ID,0.31,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Pantoea sp.,Pantoea sp. detected,-1,,Organism ID,0.30,APPROVED,EQUAL,vvcb,1693314002026,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313995789,
Trichophyton species,Trichophyton species detected,-1,,Organism ID,0.55,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Aspergillus terreus complex,Aspergillus terreus complex detected,-1,,Organism ID,0.49,APPROVED,EQUAL,vvcb,1693310219188,4046714,Aspergillus species culture,Measurement,MAPS_TO,,vvcb,1693310206624,
Streptococcus constellatus pharyngis,Streptococcus constellatus pharyngis detected,-1,,Organism ID,0.44,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Enterobacter cloacae,Enterobacter cloacae detected,-1,,Organism ID,0.40,APPROVED,EQUAL,vvcb,1693310597533,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310588450,
Enterobacter kobei,Enterobacter kobei detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693310597533,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310588450,
Aspergillus candidus,Aspergillus candidus detected,-1,,Organism ID,0.52,APPROVED,EQUAL,vvcb,1693310219188,4046714,Aspergillus species culture,Measurement,MAPS_TO,,vvcb,1693310206624,
Serratia liquefaciens,Serratia liquefaciens detected,-1,,Organism ID,0.48,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Haemolytic Streptococcus (group C ),Haemolytic Streptococcus (group C ) detected,-1,,Organism ID,0.48,APPROVED,EQUAL,vvcb,1693310714478,4047151,Beta-hemolytic Streptococcus culture,Measurement,MAPS_TO,,<auto>,1693307155777,
Candida lusitaniae,Candida lusitaniae detected,-1,,Organism ID,0.35,APPROVED,EQUAL,vvcb,1693310523466,4047152,Candida species culture,Measurement,MAPS_TO,,vvcb,1693310509389,
Klebsiella species,Klebsiella species detected,-1,,Organism ID,0.47,APPROVED,EQUAL,vvcb,1693313697576,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313685138,
Roseomonas sp.,Roseomonas sp. detected,-1,,Organism ID,0.34,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Bacteroides faecis,Bacteroides faecis detected,-1,,Organism ID,0.42,APPROVED,EQUAL,vvcb,1693310280856,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310274841,
Staphylococcus lugdunensis,Staphylococcus lugdunensis detected,-1,,Organism ID,0.39,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Presumptive Gram negative bacilli,Presumptive Gram negative bacilli detected,-1,,Organism ID,0.33,APPROVED,EQUAL,vvcb,1693314035938,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314030657,
Parvimonas micra,Parvimonas micra detected,-1,,Organism ID,0.33,APPROVED,EQUAL,vvcb,1693314035938,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314030657,
Candida parapsilosis complex,Candida parapsilosis complex detected,-1,,Organism ID,0.35,APPROVED,EQUAL,vvcb,1693310523466,4047152,Candida species culture,Measurement,MAPS_TO,,vvcb,1693310509389,
Scopulariopsis species,Scopulariopsis species detected,-1,,Organism ID,0.47,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Candida glabrata,Candida glabrata detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693310523466,4047152,Candida species culture,Measurement,MAPS_TO,,vvcb,1693310509389,
Eikenella corrodens,Eikenella corrodens detected,-1,,Organism ID,0.28,APPROVED,EQUAL,vvcb,1693313842358,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313836769,
Pseudoglutamicibacter cumminsii,Pseudoglutamicibacter cumminsii detected,-1,,Organism ID,0.29,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Trichophyton tonsurans,Trichophyton tonsurans detected,-1,,Organism ID,0.54,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Scandinavium goeteborgense,Scandinavium goeteborgense detected,-1,,Organism ID,0.28,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Leptotrichia trevisanii,Leptotrichia trevisanii detected,-1,,Organism ID,0.45,APPROVED,EQUAL,vvcb,1693313871109,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313865234,
Burkholderia cenocepacia,Burkholderia cenocepacia detected,-1,,Organism ID,0.77,APPROVED,EQUAL,vvcb,1693310419419,37396491,Burkholderia cepacia culture,Measurement,MAPS_TO,,<auto>,1693307157121,
Pichia kudriavzevii,Pichia kudriavzevii detected,-1,,Organism ID,0.31,APPROVED,EQUAL,vvcb,1693314035938,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314030657,
Haemophilus influenzae,Haemophilus influenzae detected,-1,,Organism ID,0.76,APPROVED,EQUAL,vvcb,1693313842358,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313836769,
Corynebacterium striatum,Corynebacterium striatum detected,-1,,Organism ID,0.59,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Raoultella ornithinolytica,Raoultella ornithinolytica detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
