sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:kardex_name,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
2971,zMRI Screening Assessment,6,,Radiology,0.55,UNCHECKED,UNREVIEWED,,0,4262014,Mental health screening assessment,Procedure,MAPS_TO,,<auto>,1682607036281,
380,Guided Aspiration US,9879,,Radiology,0.79,APPROVED,EQUAL,vvcb,1682610448059,4331518,Aspiration using ultrasound guidance,Procedure,MAPS_TO,,<auto>,1682607036469,
11415,HX IR (RGCY),106,,Radiology,0.13,FLAGGED,EQUAL,vvcb,1682693733948,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607571054,
435,Fluoroscopy DX (RAD USE ONLY),6,,Radiology,0.45,APPROVED,EQUAL,vvcb,1682610318370,4195288,Fluoroscopy,Procedure,MAPS_TO,,<auto>,1682607036922,
6492,Lower Extremity Arterial Doppler US,1443,,Radiology,0.61,APPROVED,EQUAL,vvcb,1682679897013,4160693,Doppler ultrasonography of artery of lower limb,Procedure,MAPS_TO,,vvcb,1682679895122,
421,Clavicle DX,9581,,Radiology,0.53,APPROVED,EQUAL,vvcb,1682609594517,4058899,Plain X-ray of clavicle,Procedure,MAPS_TO,,vvcb,1682609594142,
13095,CT Venogram Cerebral,106,,Radiology,0.89,APPROVED,EQUAL,vvcb,1682674010637,4345950,Cerebral venography,Procedure,MAPS_TO,,vvcb,1682674010184,
11343,HX CT (NACY),6,,Radiology,0.21,FLAGGED,EQUAL,vvcb,1682693683838,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607372676,
11805,A&E Ultrasound,104,,Radiology,0.48,APPROVED,EQUAL,vvcb,1682608485036,4037672,Ultrasonography,Procedure,MAPS_TO,,<auto>,1682607037250,
2768,Bone Scan NM(retired),9134,,Radiology,0.42,APPROVED,EQUAL,vvcb,1682609074073,4217238,Radioisotope scan of bone,Procedure,MAPS_TO,,vvcb,1682609073651,
12307,"Neck,Chest,Abdomen and Pelvis CT",1436,,Radiology,0.59,APPROVED,EQUAL,vvcb,1682669099488,4305208,"CT of neck, chest, abdomen and pelvis",Procedure,MAPS_TO,,<auto>,1682607037297,
11346,HX MRI (ABFN),9115,,Radiology,0.27,FLAGGED,EQUAL,vvcb,1682693747127,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607822199,
12123,Neck MRA,103,,Radiology,0.47,APPROVED,EQUAL,vvcb,1682693971576,36713033,Magnetic resonance angiography of neck without contrast,Procedure,MAPS_TO,,vvcb,1682693970967,
11356,US HX (NDDY),6,,Radiology,0.20,FLAGGED,EQUAL,vvcb,1682694611085,1340204,History of event,Observation,MAPS_TO,,vvcb,1682672386691,
4796,Scaphoid DX,9000,,Radiology,0.57,APPROVED,EQUAL,vvcb,1682670381203,4085288,Plain X-ray of scaphoid,Procedure,MAPS_TO,,vvcb,1682670380359,
2794,Hyperthyroidism I-131 Therapy NM,1427,,Radiology,0.48,APPROVED,EQUAL,vvcb,1682679908185,4331674,Radionuclide iodine 131 therapy to thyroid,Procedure,MAPS_TO,,vvcb,1682679907419,
13377,Hydro Dilatation FL,103,,Radiology,0.56,UNCHECKED,UNREVIEWED,,0,4120148,Forced manual dilatation of anus,Procedure,MAPS_TO,,<auto>,1682607037734,
12156,Venoplasty IR,6,,Radiology,0.80,APPROVED,EQUAL,vvcb,1682672538803,4328416,Fluoroscopy guided venoplasty with contrast,Procedure,MAPS_TO,,<auto>,1682607037734,
1406,Neck MRI,8973,,Radiology,0.55,APPROVED,EQUAL,vvcb,1682669180816,4218948,MRI of neck,Procedure,MAPS_TO,,vvcb,1682669180425,
11355,US HX (UCDY),1411,,Radiology,0.20,FLAGGED,EQUAL,vvcb,1682694611085,1340204,History of event,Observation,MAPS_TO,,vvcb,1682672415676,
12538,Guided Barbotage US,101,,Radiology,0.75,APPROVED,EQUAL,vvcb,1682674585001,4196903,Barbotage of tendon using ultrasound guidance,Procedure,MAPS_TO,,<auto>,1682607038234,
10869,Angiogram CT,8921,,Radiology,0.87,APPROVED,EQUAL,vvcb,1682608673959,4061009,CT of abdomen,Procedure,MAPS_TO,,vvcb,1682608673491,
12289,Sialograph IR,6,,Radiology,0.75,APPROVED,EQUAL,vvcb,1682675271290,4060373,Contrast sialogram,Procedure,MAPS_TO,,<auto>,1682607038266,
11407,HX IR (CXGEY),1408,,Radiology,0.15,FLAGGED,EQUAL,vvcb,1682693733948,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607484735,
5596,Pituitary CT,101,,Radiology,0.78,APPROVED,EQUAL,vvcb,1682670171560,4085455,CT of pituitary fossa,Procedure,MAPS_TO,,vvcb,1682670171161,
11969,RPH IRDU Appointment,8901,,Radiology,0.36,APPROVED,EQUAL,vvcb,1682673270518,4089176,Patient made appointment,Observation,MAPS_TO,,vvcb,1682673269049,
2896,Cystourethrogram DX,1390,,Radiology,0.81,APPROVED,EQUAL,vvcb,1683035487804,4184736,Voiding urethrocystography,Procedure,MAPS_TO,,<auto>,1682607038641,
6374,Humerus Dx,8685,,Radiology,0.50,APPROVED,EQUAL,vvcb,1682610688563,4047491,Radiography of humerus,Procedure,MAPS_TO,,vvcb,1682610688125,
12842,Cerebral Artery Embolisation NIR,6,,Radiology,0.80,APPROVED,EQUIVALENT,vvcb,1682673910636,4021886,Open embolization of cerebral artery,Procedure,MAPS_TO,,<auto>,1682607038734,
1028,Orbits CT,1373,,Radiology,0.55,APPROVED,EQUAL,vvcb,1682669549975,3654348,CT of orbit,Procedure,MAPS_TO,,vvcb,1682669549553,
482,Sterno-Clavicular joints DX,101,,Radiology,0.62,APPROVED,EQUAL,vvcb,1682671942165,4056689,Sternoclavicular joint X-ray,Procedure,MAPS_TO,,vvcb,1682671941790,
11387,DX HX (RFDN),8667,,Radiology,0.17,FLAGGED,EQUAL,vvcb,1682679469727,1340204,History of event,Observation,MAPS_TO,,vvcb,1682608063827,
6361,Child Lower Extremity DX,5,,Radiology,0.54,APPROVED,EQUAL,vvcb,1682609552641,37396230,Imaging of lower limb,Procedure,MAPS_TO,,vvcb,1682609552282,
6510,Chest US,1360,,Radiology,0.56,APPROVED,EQUAL,vvcb,1682674841738,4093436,Ultrasonography of thorax,Procedure,MAPS_TO,,vvcb,1682674841237,
12158,Central Line Removal IR,99,,Radiology,0.64,APPROVED,EQUAL,vvcb,1682609380389,4022792,Removal of central venous line,Procedure,MAPS_TO,,vvcb,1682609379967,
512,Toe(s) DX,8539,,Radiology,0.28,APPROVED,EQUAL,vvcb,1682672154274,37206108,Plain X-ray of toe,Procedure,MAPS_TO,,vvcb,1682672153952,
12450,Neck and Thorax CT,1339,,Radiology,0.74,APPROVED,EQUAL,vvcb,1682669135562,4326490,CT of neck and thorax,Procedure,MAPS_TO,,<auto>,1682607039516,
6364,Toe(s) DX,8392,,Radiology,0.28,APPROVED,EQUAL,vvcb,1682672154973,37206108,Plain X-ray of toe,Procedure,MAPS_TO,,vvcb,1682672154592,
6370,Child Upper Extremity DX,5,,Radiology,0.53,APPROVED,EQUAL,vvcb,1682609558563,37396230,Imaging of lower limb,Procedure,MAPS_TO,,vvcb,1682609558235,
354,Thyroid US,8288,,Radiology,0.69,APPROVED,EQUAL,vvcb,1682672128945,4083110,US scan of thyroid,Procedure,MAPS_TO,,vvcb,1682672128547,
6389,Mastoids DX,5,,Radiology,0.48,APPROVED,EQUAL,vvcb,1682668867486,4055629,Radiography of mandible,Procedure,MAPS_TO,,vvcb,1682668867092,
12404,Ultrasound Guided Botox Injection,97,,Radiology,0.76,APPROVED,EQUAL,vvcb,1682672197390,44807890,Ultrasonography guided injection of Botulinum toxin,Procedure,MAPS_TO,,<auto>,1682607039766,
356,Guided Amniocentesis US,1333,,Radiology,0.77,APPROVED,EQUAL,vvcb,1682674552374,4279146,Ultrasonic guidance for amniocentesis,Procedure,MAPS_TO,,vvcb,1682674551976,
60,Barium Enema DX,8264,,Radiology,0.73,APPROVED,EQUAL,vvcb,1682608966197,4060768,Barium enema,Procedure,MAPS_TO,,<auto>,1682607039906,
6405,Lithotripsy,5,,Radiology,1.00,APPROVED,EQUAL,vvcb,1682610884909,4046290,Lithotripsy,Procedure,MAPS_TO,,<auto>,1682607039953,
1013,Facial Bones CT,1328,,Radiology,0.68,APPROVED,EQUAL,vvcb,1682610197619,4306666,CT of facial bones,Procedure,MAPS_TO,,<auto>,1682607040375,
11381,DX HX (NFAN),8136,,Radiology,0.22,FLAGGED,EQUAL,vvcb,1682679469727,1340204,History of event,Observation,MAPS_TO,,vvcb,1682608070593,
5150,MR Orbits,1326,,Radiology,0.55,APPROVED,EQUAL,vvcb,1682668948253,4149107,MRI of orbit,Procedure,MAPS_TO,,<auto>,1682607040500,
12144,Thoracic Endovascular Annuerysm Repair IR,97,,Radiology,0.65,APPROVED,EQUIVALENT,vvcb,1683212005107,4329524,CT for endovascular aneurysm repair planning,Procedure,MAPS_TO,,<auto>,1682607040516,
18885,Sterio Guided Guidewire Magseed Insertion,5,,Radiology,0.46,UNCHECKED,UNREVIEWED,,0,4198783,Insertion of guide wire into breast using ultrasound guidance,Procedure,MAPS_TO,,<auto>,1682607040531,
2802,Angioplasty IR,8057,,Radiology,0.84,APPROVED,EQUAL,vvcb,1682608836133,4050128,Angioplasty of artery,Procedure,MAPS_TO,,vvcb,1682608835680,
11972,Nephrostogram IR,1309,,Radiology,0.87,APPROVED,EQUAL,vvcb,1682669369520,4022951,Nephrostogram,Procedure,MAPS_TO,,<auto>,1682607040688,
12164,Thoracic Myelogram DX,96,,Radiology,0.82,APPROVED,EQUAL,vvcb,1682672064918,4303248,Fluoroscopic thoracic myelogram,Procedure,MAPS_TO,,vvcb,1682672064574,
1027,Prostate CT,5,,Radiology,0.61,APPROVED,EQUAL,vvcb,1682670195596,4082690,CT prostate,Procedure,MAPS_TO,,<auto>,1682607040750,
6333,Neck CT,1308,,Radiology,0.70,APPROVED,EQUAL,vvcb,1682669148925,4060499,CT of neck,Procedure,MAPS_TO,,vvcb,1682669148487,
3243,Angiogram Peripheral IR,7924,,Radiology,0.76,APPROVED,EQUAL,vvcb,1682608703975,4156054,Peripheral angiography,Procedure,MAPS_TO,,<auto>,1682607040844,
10785,HX MR (CXBCN),5,,Radiology,0.16,FLAGGED,EQUAL,vvcb,1682693747127,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607816699,
13378,Hydro Dilatation FL,96,,Radiology,0.56,UNCHECKED,UNREVIEWED,,0,4120148,Forced manual dilatation of anus,Procedure,MAPS_TO,,<auto>,1682607040969,
6544,Breast MRI,1303,,Radiology,0.65,APPROVED,EQUAL,vvcb,1682609137855,4082984,MRI of breast,Procedure,MAPS_TO,,vvcb,1682609137199,
11344,HX CT (RACN),5,,Radiology,0.18,FLAGGED,EQUAL,vvcb,1682693683838,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607388911,
12786,MR Parotid,93,,Radiology,0.49,APPROVED,EQUIVALENT,vvcb,1682693891341,4171225,MRI of parotid gland,Procedure,MAPS_TO,,vvcb,1682693890887,
12300,Image Intensifier,7915,,Radiology,0.77,FLAGGED,EQUIVALENT,vvcb,1682693793152,4087882,Provision of image intensifier,Procedure,MAPS_TO,,<auto>,1682607041438,
2880,Shoulder Arthrogram DX,1300,,Radiology,0.84,APPROVED,EQUAL,vvcb,1682670685315,4169131,Fluoroscopic arthrography of shoulder,Procedure,MAPS_TO,,<auto>,1682607041484,
11787,Herniogram DX,5,,Radiology,0.75,APPROVED,EQUAL,vvcb,1682610600390,4345932,Herniogram,Procedure,MAPS_TO,,<auto>,1682607041516,
6578,Tube,90,,Radiology,0.74,FLAGGED,EQUAL,vvcb,1682694525099,4303993,Maintenance of tube,Procedure,MAPS_TO,,<auto>,1682607041578,
12095,Ankle CT,1299,,Radiology,0.74,APPROVED,EQUAL,vvcb,1682608845117,4083219,CT of ankle,Procedure,MAPS_TO,,<auto>,1682607041641,
9918,Transvaginal US,7708,,Radiology,0.72,APPROVED,EQUAL,vvcb,1682672180359,4027510,Transvaginal echography,Procedure,MAPS_TO,,<auto>,1682607041672,
4716,HX IR (AGFN),90,,Radiology,0.13,FLAGGED,EQUAL,vvcb,1682693706432,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607436521,
12034,Venogram Leg IR,7600,,Radiology,0.63,APPROVED,WIDER,vvcb,1683209120238,4194532,Venography of lower extremity,Procedure,MAPS_TO,,vvcb,1683209114110,
12615,chorionic villus sampling US,5,,Radiology,0.84,APPROVED,EQUAL,vvcb,1682609584149,4120817,Sampling of chorionic villus,Procedure,MAPS_TO,,<auto>,1682607041859,
12166,Myelogram Lumbosacral DX,1296,,Radiology,0.78,APPROVED,EQUAL,vvcb,1682669066143,4227424,Lumbosacral myelography,Procedure,MAPS_TO,,<auto>,1682607041891,
12790,GFR NM,5,,Radiology,0.20,APPROVED,EQUIVALENT,vvcb,1682674517652,4049266,Isotope study for glomerular filtration rate,Procedure,MAPS_TO,,vvcb,1682674517143,
5405,Bone Scan with Blood Pool NM,89,,Radiology,0.41,APPROVED,EQUAL,vvcb,1682609078995,4217238,Radioisotope scan of bone,Procedure,MAPS_TO,,<auto>,1682607042109,
13202,Major Trauma CT,7577,,Radiology,0.47,APPROVED,EQUAL,vvcb,1682673301964,4060500,CAT scan - whole body,Procedure,MAPS_TO,,vvcb,1682673301315,
13361,CT Zimmer,5,,Radiology,0.53,APPROVED,EQUIVALENT,vvcb,1683035480861,4300757,Computed tomography,Procedure,MAPS_TO,,vvcb,1682674084888,
10274,Scaphoid DX,7391,,Radiology,0.57,APPROVED,EQUAL,vvcb,1682670391937,4085288,Plain X-ray of scaphoid,Procedure,MAPS_TO,,vvcb,1682670391437,
11317,Breast Wire Localisation,1288,,Radiology,0.64,APPROVED,EQUAL,vvcb,1682679935935,46273293,Hook wire localization of lesion of breast using imaging guidance,Procedure,MAPS_TO,,vvcb,1682679932997,
11857,Brain LAB Stereo CT,89,,Radiology,0.36,APPROVED,EQUAL,vvcb,1682674914916,4145739,CT of brain,Procedure,MAPS_TO,,vvcb,1682674914176,
2785,Venogram IR,1287,,Radiology,0.77,APPROVED,EQUAL,vvcb,1682672516365,4175809,Venography,Procedure,MAPS_TO,,<auto>,1682607042703,
2767,Thyroid Uptake NM,88,,Radiology,0.70,APPROVED,EQUAL,vvcb,1682675541809,35622415,Radionuclide imaging of thyroid using iodine radioisotope,Procedure,MAPS_TO,,vvcb,1682675541309,
11386,DX HX (RFCN),1280,,Radiology,0.11,FLAGGED,EQUAL,vvcb,1682679469727,1340204,History of event,Observation,MAPS_TO,,vvcb,1682609831645,
2774,Cardiac Imaging Resting NM,7328,,Radiology,0.51,APPROVED,EQUIVALENT,vvcb,1683035220127,4181752,Cardiac flow imaging,Procedure,MAPS_TO,,<auto>,1682607042891,
19283,Sentinel Node Scan Melanoma NM,4,,Radiology,0.42,APPROVED,WIDER,vvcb,1683207904404,4198632,Radionuclide sentinel lymph node study,Procedure,MAPS_TO,,vvcb,1683207903769,
5384,US HX (RDDN),87,,Radiology,0.11,FLAGGED,EQUAL,vvcb,1682694611085,1340204,History of event,Observation,MAPS_TO,,vvcb,1682672392441,
11382,DX HX (NFBN),7235,,Radiology,0.09,FLAGGED,EQUAL,vvcb,1682679469727,1340204,History of event,Observation,MAPS_TO,,vvcb,1682608083874,
9,Breast Ultrasound US,1274,,Radiology,0.71,APPROVED,EQUAL,vvcb,1682679573087,4264054,Ultrasonography of breast,Procedure,MAPS_TO,,vvcb,1682673833119,
1416,Pelvis MRA,87,,Radiology,0.57,APPROVED,EQUAL,vvcb,1682694342347,36713043,Magnetic resonance angiography of pelvis without contrast,Procedure,MAPS_TO,,vvcb,1682694341862,
2818,Catheter Check/Recheck IR,4,,Radiology,0.30,UNCHECKED,UNREVIEWED,,0,4074333,Checking urinary catheter tubing,Procedure,MAPS_TO,,<auto>,1682607043453,
6427,Neck MRI,1272,,Radiology,0.55,APPROVED,EQUAL,vvcb,1682669181613,4218948,MRI of neck,Procedure,MAPS_TO,,vvcb,1682669181206,
1006,Cervical Spine CT,7158,,Radiology,0.73,APPROVED,EQUAL,vvcb,1682609456499,4086261,CT of cervical spine,Procedure,MAPS_TO,,<auto>,1682607043531,
5500,HX IR (MGDN),4,,Radiology,0.14,FLAGGED,EQUAL,vvcb,1682693733948,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607503069,
15893,A&E Pregnancy Test,86,,Radiology,0.59,APPROVED,EQUAL,vvcb,1682608479367,4250175,Pregnancy detection examination,Procedure,MAPS_TO,,<auto>,1682607043672,
12301,Mobile image intensifier,7148,,Radiology,0.90,APPROVED,EQUAL,vvcb,1682673369047,4087882,Provision of image intensifier,Procedure,MAPS_TO,,vvcb,1682673368474,
11786,Defecating Proctogram DX,1249,,Radiology,0.83,APPROVED,EQUAL,vvcb,1682609767957,4347684,Defecating proctogram,Procedure,MAPS_TO,,<auto>,1682607043828,
11398,Chest MRA,86,,Radiology,0.44,APPROVED,EQUIVALENT,vvcb,1683211614709,45765681,MR angiography of chest,Procedure,MAPS_TO,,vvcb,1683211590771,
6436,Angiogram Abdominal IR,4,,Radiology,0.80,APPROVED,EQUAL,vvcb,1682608663850,4347783,Abdominal angiography,Procedure,MAPS_TO,,vvcb,1682608663256,
12321,Ankle MRI,1240,,Radiology,0.70,APPROVED,EQUAL,vvcb,1682608858149,4082717,MRI of ankle,Procedure,MAPS_TO,,<auto>,1682607043938,
1030,Sinus CT,7039,,Radiology,0.49,APPROVED,EQUAL,vvcb,1682673379941,4082875,CT of paranasal sinuses,Procedure,MAPS_TO,,vvcb,1682673379551,
6347,Needle Biopsy CT,84,,Radiology,0.87,APPROVED,EQUAL,vvcb,1682669299557,4031025,CT guidance for needle biopsy,Procedure,MAPS_TO,,vvcb,1682669299082,
5043,Ankle US,1225,,Radiology,0.71,APPROVED,EQUAL,vvcb,1682608883758,4085449,Ultrasonography of ankle,Procedure,MAPS_TO,,vvcb,1682608883227,
6542,GI Bleed Scan NM,4,,Radiology,0.32,APPROVED,EQUIVALENT,vvcb,1683211919877,4083115,US scan of spleen,Procedure,MAPS_TO,,<auto>,1682607044078,
12401,Lower Leg US,6738,,Radiology,0.64,APPROVED,EQUAL,vvcb,1682610967660,4140741,US scan of lower leg,Procedure,MAPS_TO,,vvcb,1682610967239,
7299,Knee MRI,6653,,Radiology,0.62,APPROVED,EQUAL,vvcb,1682610791783,4082716,MRI of knee,Procedure,MAPS_TO,,vvcb,1682610791314,
15904,A&E Electrocardiogram,4,,Radiology,0.56,APPROVED,EQUAL,vvcb,1682608475926,4163951,Electrocardiographic procedure,Procedure,MAPS_TO,,<auto>,1682607044625,
12293,Portocath Insertion IR,84,,Radiology,0.69,APPROVED,EQUAL,vvcb,1683207403857,44808120,Fluoroscopy guided insertion of implantable venous access port,Procedure,MAPS_TO,,vvcb,1683207398998,
6438,Radiology Post-Catheter Documentation,1220,,Radiology,0.40,FLAGGED,EQUAL,vvcb,1682679938388,44793508,Radiology procedures,Procedure,MAPS_TO,,<auto>,1682607044735,
11413,HX IR (NGFY),84,,Radiology,0.14,FLAGGED,EQUAL,vvcb,1682693733948,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607544397,
16376,MR Head Spectroscopy,4,,Radiology,0.82,APPROVED,EQUIVALENT,vvcb,1682693878965,4084305,Magnetic resonance spectroscopy of head,Procedure,MAPS_TO,,<auto>,1682607044875,
438,Central Line Insertion IR,6589,,Radiology,0.88,APPROVED,EQUIVALENT,vvcb,1683035251064,4141149,Open insertion of central venous catheter,Procedure,MAPS_TO,,vvcb,1682673442140,
12999,CT Colon with Contrast,1220,,Radiology,0.73,APPROVED,EQUAL,vvcb,1682609704659,40493272,CT of colon using intravenous contrast,Procedure,MAPS_TO,,vvcb,1682609703847,
13559,Vacuum Assisted Biopsy DX,82,,Radiology,0.86,APPROVED,EQUAL,vvcb,1682672469192,37206731,Vacuum assisted biopsy,Procedure,MAPS_TO,,<auto>,1682607045094,
10809,Jejunal Biopsy IR,4,,Radiology,0.90,APPROVED,EQUAL,vvcb,1682610765158,4101674,Biopsy of jejunum,Procedure,MAPS_TO,,<auto>,1682607045125,
6371,Clavicle DX,6565,,Radiology,0.53,APPROVED,EQUAL,vvcb,1682609595204,4058899,Plain X-ray of clavicle,Procedure,MAPS_TO,,vvcb,1682609594876,
12106,Hip CT,1205,,Radiology,0.44,APPROVED,EQUAL,vvcb,1682610620312,4086258,CT of hip,Procedure,MAPS_TO,,vvcb,1682610619921,
11412,HX IR (RGBN),82,,Radiology,0.21,FLAGGED,EQUAL,vvcb,1682693733948,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607561554,
11345,HX CT (RACY),4,,Radiology,0.18,FLAGGED,EQUAL,vvcb,1682693683838,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607392770,
427,Dental DX,6471,,Radiology,0.49,APPROVED,EQUAL,vvcb,1682609780254,4119275,Radiography of teeth,Procedure,MAPS_TO,,vvcb,1682609779832,
11348,HX MRI (NBFN),4,,Radiology,0.25,FLAGGED,EQUAL,vvcb,1682693747127,1340204,History of event,Observation,MAPS_TO,,vvcb,1682607823902,
6391,Facial Bones DX,6427,,Radiology,0.55,APPROVED,EQUAL,vvcb,1682610209463,4284961,Diagnostic radiography of facial bones,Procedure,MAPS_TO,,vvcb,1682610209025,
6338,Intra Auditory Canal CT,81,,Radiology,0.69,UNCHECKED,UNREVIEWED,,0,4336143,External auditory canal operation,Procedure,MAPS_TO,,<auto>,1682607045828,
11369,NM HX (TE3N),4,,Radiology,0.14,FLAGGED,EQUAL,vvcb,1682694224798,1340204,History of event,Observation,MAPS_TO,,vvcb,1682669510982,
12143,Abdominal Endovascular Annuerysm Repair IR,1201,,Radiology,0.65,APPROVED,EQUAL,vvcb,1682608629959,40480196,Endovascular repair of abdominal aortic aneurysm,Procedure,MAPS_TO,,vvcb,1682608629506,
11394,DX HX (TFAN),81,,Radiology,0.13,FLAGGED,EQUAL,vvcb,1682679469727,1340204,History of event,Observation,MAPS_TO,,vvcb,1682609846911,
11389,DX HX (RFFN),4,,Radiology,0.11,FLAGGED,EQUAL,vvcb,1682679469727,1340204,History of event,Observation,MAPS_TO,,vvcb,1682609837708,
12115,Wrist CT,1191,,Radiology,0.69,APPROVED,EQUAL,vvcb,1682672613373,4082695,CT of wrist,Procedure,MAPS_TO,,vvcb,1682672612993,
6486,Guided Aspiration US,6400,,Radiology,0.79,APPROVED,EQUAL,vvcb,1682610449356,4331518,Aspiration using ultrasound guidance,Procedure,MAPS_TO,,<auto>,1682607046047,
10723,Loopogram DX,81,,Radiology,0.67,APPROVED,EQUAL,vvcb,1682610916519,40492791,Loopogram of colon,Procedure,MAPS_TO,,<auto>,1682607046125,
