sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:AdditionalInfo1,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AG/1358/1/87/10,Motor Graph,122,,NHS 111 - A&E Triage (verjul06),0.36,APPROVED,EQUAL,vvcb,1705062303178,4237719,Motor response,Observation,MAPS_TO,,vvcb,1705062298585,
MC/5696/9/718/3,Specialty,1,,Clinical Frailty Scale,0.35,FLAGGED,EQUAL,vvcb,1705062310498,4155614,Specimen size,Measurement,MAPS_TO,,<auto>,1704898493826,
AG/11/4/87/7,Total,2,,Recovery Room Assessment 2nd Stage,0.60,FLAGGED,WIDER,vvcb,1705058379102,4119650,Total protein measurement,Measurement,MAPS_TO,,<auto>,1704898493826,
AG/20/26/258/13,Relief Measure,3,,MAU Triage,0.48,FLAGGED,EQUAL,vvcb,1704975493494,4107050,Tin measurement,Measurement,MAPS_TO,,<auto>,1704898494093,
AG/90/1/99/3,Frequency,167,,A&E Triage,0.74,FLAGGED,EQUAL,vvcb,1704971141372,4313591,Respiratory rate,Measurement,MAPS_TO,,<auto>,1704898494608,
AG/158/1/61/9,Reported On,1,,NHS 111 - A&E Triage (verjul06),0.47,FLAGGED,EQUAL,vvcb,1704975542946,4166598,Reporters tests,Measurement,MAPS_TO,,<auto>,1704898494655,
AD/2125/5,Full blood count message,122,,Paediatric Past Surgical & Medical History,0.81,FLAGGED,NARROWER,vvcb,1704900436847,4132152,Complete blood count,Measurement,MAPS_TO,,<auto>,1704898494733,
AG/776/17/778/13,Temp on Discharge,2754,,Theatre DCU Discharge Summary,0.37,APPROVED,WIDER,vvcb,1705058344986,4302666,Body temperature,Measurement,MAPS_TO,,vvcb,1705058341492,
AD/940/1,DVT Risk Score,2,,Theatre Pre-Op Adult Assmt (August 2007),0.48,FLAGGED,EQUAL,vvcb,1704969558643,4233037,Pocock risk score,Measurement,MAPS_TO,,<auto>,1704898495030,
AD/1006/1,Other risk factors,1,,Adult Inpatient Admission Assessment,0.80,FLAGGED,NARROWER,vvcb,1704900443565,4214014,Risk factor,Measurement,MAPS_TO,,<auto>,1704898495218,
AD/2127/7,Any previous anaesthetic Comments,29,,Paediatric Past Surgical & Medical History,0.45,FLAGGED,WIDER,vvcb,1705060873454,4353943,Anesthetic agent concentration,Measurement,MAPS_TO,,<auto>,1704898495296,
RD/6058/24,Advice,3,,Ambulatory Care Referral 010719,0.32,FLAGGED,WIDER,vvcb,1705059288823,40493182,European pressure ulcer advisory panel classification system,Measurement,MAPS_TO,,<auto>,1704898495452,
AD/1418/1,Next Screen,2,,Moving and Handling Assessment (2015),0.56,FLAGGED,EQUAL,vvcb,1704973537270,4202372,"Blood coagulation panel, DIC",Measurement,MAPS_TO,,<auto>,1704898495687,
AG/11/4/87/1,Eye Response,2754,,Recovery Room Assessment 2nd Stage,0.63,APPROVED,EQUAL,vvcb,1704969878968,4154920,Pupil reaction,Observation,MAPS_TO,,vvcb,1704969871147,
AG/604/1/63/4,Reaction Type,122,,Admission Nutrition Safety Checklist,0.47,FLAGGED,EQUAL,vvcb,1705060916471,4097741,Rh system antigen type determination,Measurement,MAPS_TO,,<auto>,1704898496265,
MC/5585/92/726/10,NEWS >=7 Spr Informed,166,,MANUAL Ward Vital Signs,0.21,FLAGGED,EQUAL,vvcb,1704973472897,4064624,PR interval feature,Measurement,MAPS_TO,,<auto>,1704898496265,
AD/1120/1,Medication/Treatment,1,,zz/save/Waterlow Testing MVN,0.35,FLAGGED,EQUAL,vvcb,1704972769591,4353850,High density lipoprotein/triglyceride ratio measurement,Measurement,MAPS_TO,,<auto>,1704898496437,
AG/22/13/112/7,Nutrition Status,1,,A&E Admission Assessment,0.59,FLAGGED,EQUAL,vvcb,1704973573992,4120177,Lymphatic tumor invasion status stages,Measurement,MAPS_TO,,<auto>,1704898496546,
AD/2397/1,Medication,29,,Paediatric Falls Prevention Care Plan,0.51,FLAGGED,EQUAL,vvcb,1704972762684,600770,Name of medication injected,Measurement,MAPS_TO,,<auto>,1704898496656,
AD/173/10,BP,2743,,A&E Nursing Assessment,0.32,APPROVED,WIDER,vvcb,1704962460876,4326744,Blood pressure,Measurement,MAPS_TO,,<auto>,1704898496921,
AG/1358/1/87/8,Eye Graph,122,,NHS 111 - A&E Triage (verjul06),0.47,APPROVED,WIDER,vvcb,1705062146144,4084277,Glasgow Coma Score eye opening subscore,Observation,MAPS_TO,,vvcb,1705062143300,
AD/1930/1,Nutrition Aims/Objectives Achieved,3,,NEW Care Plan: Mobilisation/Moving/Handling,0.23,FLAGGED,EQUAL,vvcb,1704973565648,40481480,Social training achievement record,Measurement,MAPS_TO,,<auto>,1704898497234,
RD/6453/11,zzFollow-up,166,,CURE Specialist Assessment and Treatment Plan,0.34,FLAGGED,WIDER,vvcb,1705047307995,608458,Newcastle post-COVID syndrome Follow-up Screening Questionnaire,Measurement,MAPS_TO,,<auto>,1704898497343,
MC/4907/34/122/2,Diathermy Options,2,,Intra-Operative Assessment Endo Part 1,0.24,FLAGGED,EQUAL,vvcb,1704969381802,4038508,Optical density,Measurement,MAPS_TO,,<auto>,1704898497452,
RD/6058/18,Background,29,,Ambulatory Care Referral 010719,0.26,FLAGGED,WIDER,vvcb,1705060873454,4288447,"Coagulation time, activated",Measurement,MAPS_TO,,<auto>,1704898497499,
AD/253/126,Operation2,1,,Intra-Operative Assessment Endo Part 2,0.15,FLAGGED,EQUAL,vvcb,1704974627914,4096224,Blood nitrogen concentration measurement,Measurement,MAPS_TO,,<auto>,1704898497640,
AG/926/1/802/1,Heart Attack?,1,,Theatre Pre-Op Adult Assmt (August 2007),0.27,FLAGGED,EQUAL,vvcb,1704971747175,4239408,Heart rate,Measurement,MAPS_TO,,<auto>,1704898497828,
AG/11/4/87/2,Verbal Response,2739,,Recovery Room Assessment 2nd Stage,0.54,APPROVED,WIDER,vvcb,1705059214692,4084912,Glasgow Coma Scale verbal response subscore,Observation,MAPS_TO,,vvcb,1705059210014,
AD/952/1,Unit Function,1,,Paediatric Critical Care MDS Assessment,0.66,FLAGGED,WIDER,vvcb,1705058647277,4197648,Platelet function test,Measurement,MAPS_TO,,<auto>,1704898498531,
AD/2121/5,Asthma Freetext message,165,,Paediatric Past Surgical & Medical History,0.44,FLAGGED,WIDER,vvcb,1705060873454,4062501,Asthma screening,Measurement,MAPS_TO,,<auto>,1704898498609,
AD/78/1,Comment,29,,zzAllergy/Ht/Wt/BMI - Adult*,0.38,FLAGGED,EQUIVALENT,vvcb,1704968870434,4018456,Culture of specimen by commercial kit,Measurement,MAPS_TO,,<auto>,1704898498875,
AD/2099/5,Pressure Ulcer Appropriate Actions,122,,NEW Care Plan: Pressure Ulcer,0.45,FLAGGED,EQUAL,vvcb,1704975227242,40480125,Norton pressure ulcer risk score,Measurement,MAPS_TO,,<auto>,1704898498906,
AD/68/1,BSA - Adult (Calc)*,3,,A&E Admission Assessment,0.30,APPROVED,EQUAL,vvcb,1704962772406,4201235,Body surface area,Measurement,MAPS_TO,,vvcb,1704962766415,
AG/2007/1/1265/3,Things I do not like,2,,Hospital Passport,0.33,FLAGGED,WIDER,vvcb,1705058365096,4165276,Likert scale,Measurement,MAPS_TO,,<auto>,1704898499171,
AD/2037/20,Destination,1,,E/Major Trauma Rehabilitation Prescription,0.40,FLAGGED,EQUAL,vvcb,1704969306679,4098485,Iodination,Measurement,MAPS_TO,,<auto>,1704898499250,
AG/1781/2/1166/5,Type,122,,EPMA Fluid Balance,0.66,FLAGGED,WIDER,vvcb,1705058640125,37399698,Genotype,Measurement,MAPS_TO,,<auto>,1704898499640,
AG/926/1/802/5,Angina?,1,,Theatre Pre-Op Adult Assmt (August 2007),0.27,FLAGGED,WIDER,vvcb,1705060873454,4047212,Cardiovascular Limitations and Symptoms Profile angina score,Measurement,MAPS_TO,,<auto>,1704898499718,
AG/20/26/258/13,Relief Measure,2,,Adult Inpatient Admission Assessment,0.48,FLAGGED,EQUAL,vvcb,1704975493494,4107050,Tin measurement,Measurement,MAPS_TO,,<auto>,1704898499859,
AG/1248/1/888/5,Comment,164,,Emergency Admission Assessment (2015),0.38,FLAGGED,EQUIVALENT,vvcb,1704968870434,4018456,Culture of specimen by commercial kit,Measurement,MAPS_TO,,<auto>,1704898499984,
AG/1084/1/862/5,Pre-Existing Condition?,2731,,Emergency Admission Assessment (2015),0.22,FLAGGED,EQUAL,vvcb,1704975170410,4076661,Pre-employment screening,Measurement,MAPS_TO,,<auto>,1704898500171,
RD/4907/45,Theatre Trays,3,,Intra-Operative Assessment Endo Part 1,0.20,FLAGGED,WIDER,vvcb,1705058365096,4306363,Wheat RAST,Measurement,MAPS_TO,,<auto>,1704898500500,
AD/253/140,Theatre Destinations,29,,Resuscitation,0.27,FLAGGED,WIDER,vvcb,1705058365096,4262928,Phenylalanine deamination test,Measurement,MAPS_TO,,<auto>,1704898500975,
AG/1358/1/87/5,Comment,121,,A&E Triage (verjul06),0.38,FLAGGED,EQUIVALENT,vvcb,1704968870434,4018456,Culture of specimen by commercial kit,Measurement,MAPS_TO,,<auto>,1704898501070,
AG/1115/1/871/7,Broken?,1,,Moving and Handling Assessment (2015),0.42,FLAGGED,EQUAL,vvcb,1704962724528,4172676,Stroke index,Measurement,MAPS_TO,,<auto>,1704898501210,
AD/173/22,VS (num)* (new),1,,Seizure Assessment,0.16,FLAGGED,WIDER,vvcb,1705047501488,35621756,New York Heart Association Classification class,Measurement,MAPS_TO,,<auto>,1704898501257,
AG/158/1/61/9,Reported On,2,,Allergy/Ht/Wt/BMI Assess Paed (new),0.47,FLAGGED,EQUAL,vvcb,1704975542946,4166598,Reporters tests,Measurement,MAPS_TO,,<auto>,1704898501539,
AG/107/1/98/3,Prev Surgery,3,,A&E Triage,0.34,FLAGGED,EQUAL,vvcb,1704975271130,4264570,Hepatitis E virus measurement,Measurement,MAPS_TO,,<auto>,1704898501742,
AG/1691/1/1087/3,Descriptn,2729,,EPMA Fluid Balance,0.42,FLAGGED,EQUAL,vvcb,1704969306679,4228438,p,Measurement,MAPS_TO,,<auto>,1704898501773,
AG/2038/22/1387/15,Swab taken?,121,,Tissue Viability Referral (NTOP),0.30,FLAGGED,WIDER,vvcb,1705058304029,37395540,Penile swab culture,Measurement,MAPS_TO,,<auto>,1704898501960,
AG/90/1/99/3,Frequency,29,,Adult Inpatient Admission Assessment,0.74,FLAGGED,EQUAL,vvcb,1704971141372,4313591,Respiratory rate,Measurement,MAPS_TO,,<auto>,1704898502507,
AD/2121/4,Does your child suffer form asthma Comments,164,,Paediatric Past Surgical & Medical History,0.34,FLAGGED,EQUAL,vvcb,1704969429710,44811605,Childhood Asthma Control Test,Measurement,MAPS_TO,,<auto>,1704898502539,
AG/1066/1/847/10,Notify anaesthetist?,1,,Elective Surgery Inpatient Admission Assessment (2015),0.40,FLAGGED,EQUAL,vvcb,1704973558101,4353943,Anesthetic agent concentration,Measurement,MAPS_TO,,<auto>,1704898502914,
AG/11/4/87/3,Motor Response,2717,,Recovery Room Assessment 2nd Stage,0.57,APPROVED,EQUAL,vvcb,1704972938298,4237719,Motor response,Observation,MAPS_TO,,vvcb,1704972931330,
AG/2076/1/1335/1,#/Locatn,121,,Output - Drains/Tubes,0.25,FLAGGED,UNREVIEWED,vvcb,1704962122283,4353851,High density/low density lipoprotein ratio measurement,Measurement,MAPS_TO,,<auto>,1704898503085,
AG/2076/4/1338/2,Amt,164,,Output - Drains/Tubes,0.46,FLAGGED,WIDER,vvcb,1705060873454,4019814,Triamterene measurement,Measurement,MAPS_TO,,<auto>,1704898503148,
AG/1086/1/864/5,Pre-Existing Condition?,1,,Elective Surgery Inpatient Admission Assessment (2015),0.22,FLAGGED,EQUAL,vvcb,1704975170410,4076661,Pre-employment screening,Measurement,MAPS_TO,,<auto>,1704898503195,
AG/944/1/815/7,Aware of Admission?,2,,Theatre Pre-Op Adult Assmt (August 2007),0.42,FLAGGED,WIDER,vvcb,1705060873454,4160327,Heart rate on admission,Measurement,MAPS_TO,,<auto>,1704898503226,
AD/68/8,BMI - Adult,3,,Allergy/Ht/Wt/BMI - Adult*,0.58,APPROVED,UNREVIEWED,vvcb,1704962314269,4245997,Body mass index,Measurement,MAPS_TO,,vvcb,1704962309460,
AG/107/1/98/1,Illness/Disease,29,,Adult Inpatient Admission Assessment,0.52,FLAGGED,EQUAL,vvcb,1704971862089,4092776,Health of the Nation Outcome Scale item 5 - physical illness/disability,Measurement,MAPS_TO,,<auto>,1704898503929,
AG/2008/1/1264/8,Pain,2,,Hospital Passport,0.51,FLAGGED,EQUAL,vvcb,1704974692608,4158627,Pain diary,Measurement,MAPS_TO,,<auto>,1704898504358,
AD/1286/1,Allergy - Substance,1,,zzAllergy/Ht/Wt/BMI - Adult,0.50,APPROVED,EQUIVALENT,vvcb,1705061303847,4169307,Allergy to substance,Observation,MAPS_TO,,vvcb,1705061299728,
AD/1286/1,Allergy - Substance,1,,zzAllergy/Ht/Wt/BMI - Adult,0.50,APPROVED,EQUIVALENT,vvcb,1705061303847,4169307,Allergy to substance,Observation,MAPS_TO,,vvcb,1705061299728,
AG/2190/1/1454/7,Comments,121,,Paediatric Admission under GA Assessment,0.33,FLAGGED,EQUIVALENT,vvcb,1704968870434,4018456,Culture of specimen by commercial kit,Measurement,MAPS_TO,,<auto>,1704898504530,
AD/2338/1,Comments,163,,Paediatric Play Activities Assessment,0.33,FLAGGED,EQUIVALENT,vvcb,1704968870434,4018456,Culture of specimen by commercial kit,Measurement,MAPS_TO,,<auto>,1704898504577,
RD/6140/16,Reason for Contact,2710,,E/MS Admin Contact Form,0.36,FLAGGED,EQUAL,vvcb,1704975407909,4158646,Reasons for eating scale,Measurement,MAPS_TO,,<auto>,1704898504686,
AD/1934/4,Safe Environment/Neurological Next Assessment,1,,NEW Care Plan: Nutrition,0.46,FLAGGED,EQUAL,vvcb,1704975724780,4232564,Safety assessment of function and the environment for rehabilitation,Measurement,MAPS_TO,,<auto>,1704898505108,
RD/6058/19,Referral Time,29,,Ambulatory Care Referral 010719,0.43,FLAGGED,EQUAL,vvcb,1705060916471,4212897,Thrombin time reference,Measurement,MAPS_TO,,<auto>,1704898505264,
AD/158/1,Allergy - Latex*,2,,Allergy Documentation ClinDoc 6.4 (TEST),0.56,APPROVED,EQUIVALENT,vvcb,1705061318995,604826,Allergy to Hevea brasiliensis latex protein,Observation,MAPS_TO,,vvcb,1705061315584,
AD/253/126,Operation2,160,,Intra-Operative Assessment Renal Part 2,0.15,FLAGGED,EQUAL,vvcb,1704974627914,4096224,Blood nitrogen concentration measurement,Measurement,MAPS_TO,,<auto>,1704898505858,
RD/4238/43,Arrival at A&E,121,,Rosier Score,0.12,FLAGGED,WIDER,vvcb,1705060873454,4079996,a - At autopsy,Measurement,MAPS_TO,,<auto>,1704898505889,
RD/6058/25,Source,29,,Ambulatory Care Referral 010719,0.57,FLAGGED,EQUAL,vvcb,1704980195213,4015311,Source specific culture,Measurement,MAPS_TO,,<auto>,1704898506108,
AD/992/1,Predisposing Disease,3,,Adult Inpatient Admission Assessment,0.35,FLAGGED,EQUAL,vvcb,1704975170410,4147731,Lyme disease test,Measurement,MAPS_TO,,<auto>,1704898506155,
AD/1917/1,Cardiovascular/Circulation Aim/Objectives,1,,NEW Care Plan: Communication/Social Requirements,0.35,FLAGGED,EQUAL,vvcb,1704962847782,4108719,Cardiovascular pressure,Measurement,MAPS_TO,,<auto>,1704898506295,
AG/1063/1/844/4,Jaundice?,1,,Elective Surgery Inpatient Admission Assessment (2015),0.12,FLAGGED,EQUAL,vvcb,1704972023875,42872764,Voice handicap index,Measurement,MAPS_TO,,<auto>,1704898506530,
RD/6140/12,Date/Time of Contact,2706,,E/MS Admin Contact Form,0.35,FLAGGED,EQUAL,vvcb,1704969144386,4090332,Dead space/tidal volume ratio,Measurement,MAPS_TO,,<auto>,1704898506623,
AD/1915/2,Airway/Breathing Interventions,2,,NEW Care Plan: Pressure Ulcer,0.38,FLAGGED,WIDER,vvcb,1705059298376,4271325,Airway resistance,Measurement,MAPS_TO,,<auto>,1704898507077,
AG/2780/4/1598/4,Comments,121,,Tracheostomy Care Bundle,0.33,FLAGGED,EQUIVALENT,vvcb,1704968870434,4018456,Culture of specimen by commercial kit,Measurement,MAPS_TO,,<auto>,1704898507311,
AG/39/1/62/3,Reaction type,160,,Allergy/Smoking Update,0.47,FLAGGED,EQUAL,vvcb,1705060916471,4097741,Rh system antigen type determination,Measurement,MAPS_TO,,<auto>,1704898507389,
AD/2412/1,Parental responsibility,29,,Paediatric Falls Prevention Care Plan,0.41,FLAGGED,EQUAL,vvcb,1704974950130,4200892,Spirometry reversibility,Measurement,MAPS_TO,,<auto>,1704898507623,
AG/1194/1/880/3,Estimated LOS,3,,Elective Surgery Inpatient Admission Assessment (2015),0.51,FLAGGED,EQUAL,vvcb,1704969711106,4310103,Platelet estimate,Measurement,MAPS_TO,,<auto>,1704898507670,
AG/22/15/154/3,Descriptn,1,,Critical Care Admission Assessment,0.42,FLAGGED,EQUAL,vvcb,1704969306679,4228438,p,Measurement,MAPS_TO,,<auto>,1704898507889,
RD/6139/9,Contact Outcome,2,,zzE/Multiple Sclerosis Contact Form,0.57,FLAGGED,EQUIVALENT,vvcb,1704968979812,44804874,Treatment outcomes profile,Measurement,MAPS_TO,,<auto>,1704898508514,
RD/5584/26,Specialty,160,,CDH MAU Referral,0.35,FLAGGED,EQUAL,vvcb,1705062310498,4155614,Specimen size,Measurement,MAPS_TO,,<auto>,1704898508623,
AD/2125/6,Full blood count Comments,121,,Paediatric Past Surgical & Medical History,0.81,FLAGGED,NARROWER,vvcb,1704900436660,4132152,Complete blood count,Measurement,MAPS_TO,,<auto>,1704898508717,
AD/2067/7,Mobilisation Date/Time Completed,1,,NEW Care Plan: Nutrition,0.38,FLAGGED,EQUAL,vvcb,1704972829448,4102245,Sperm immobilization test,Measurement,MAPS_TO,,<auto>,1704898508748,
RD/5389/80,Are there concerns regarding alcohol or substance misuse?,2704,,NHS 111 - A&E Triage (verjul06),0.31,FLAGGED,WIDER,vvcb,1705060873454,4158091,Screening for substance abuse,Measurement,MAPS_TO,,<auto>,1704898508936,
AD/2411/1,Discussion,29,,Paediatric Falls Prevention Care Plan,0.30,FLAGGED,EQUAL,vvcb,1704969386526,36674809,Standardized Assessment of Concussion,Measurement,MAPS_TO,,<auto>,1704898509202,
AG/2076/6/1340/2,Amt,160,,Output - Drains/Tubes,0.46,FLAGGED,WIDER,vvcb,1705060873454,4019814,Triamterene measurement,Measurement,MAPS_TO,,<auto>,1704898509217,
AG/22/8/150/3,Descriptn,1,,Skin Assessment,0.42,FLAGGED,EQUAL,vvcb,1704969306679,4228438,p,Measurement,MAPS_TO,,<auto>,1704898509530,
AG/20/24/258/10,Pain Level,29,,Adult Inpatient Admission Assessment,0.66,APPROVED,EQUAL,vvcb,1704974847016,4234651,Pain level,Observation,MAPS_TO,,vvcb,1704974841717,
AD/1915/1,Airway/Breathing Aim/Objectives,2,,NEW Care Plan: Pressure Ulcer,0.32,FLAGGED,WIDER,vvcb,1705059298376,4058849,Total airway resistance,Measurement,MAPS_TO,,<auto>,1704898509936,
AD/106/1,Informant,119,,zzAllergy/Ht/Wt/BMI - Adult*,0.43,FLAGGED,EQUAL,vvcb,1704971920166,4158746,Ross information processing assessment,Measurement,MAPS_TO,,<auto>,1704898510139,
AD/2365/1,Does the patient use more than 60mgs of oral morphine equivalent in 24hrs?,3,,Pain Team Pre-Op Review,0.27,FLAGGED,EQUAL,vvcb,1704969429710,44782837,Metabolic equivalent of task,Measurement,MAPS_TO,,<auto>,1704898510717,
AG/2104/4/1365/13,Stocking applied,159,,NEW Care Plan: Anti Embolism Stocking (ClinDoc),0.35,FLAGGED,WIDER,vvcb,1705058304029,44792065,Measuring for appliance,Measurement,MAPS_TO,,<auto>,1704898510811,
AG/1089/1/867/17,Home Diet,1,,Elective Surgery Inpatient Admission Assessment (2015),0.29,FLAGGED,EQUAL,vvcb,1704971798415,4017638,Diethyl ether measurement,Measurement,MAPS_TO,,<auto>,1704898511202,
AD/1931/2,Pain Interventions,2,,NEW Care Plan: Airway/Breathing,0.38,FLAGGED,EQUAL,vvcb,1704974707796,4166618,Stuttering intervention program,Measurement,MAPS_TO,,<auto>,1704898511545,
AG/2658/10/1541/10,Comments,119,,NEW Care Plan: Orthopaedic Post Op,0.33,FLAGGED,EQUIVALENT,vvcb,1704968870434,4018456,Culture of specimen by commercial kit,Measurement,MAPS_TO,,<auto>,1704898511545,
RD/5389/87,Does the patient have caring responsibilities,2704,,NHS 111 - A&E Triage (verjul06),0.33,FLAGGED,EQUAL,vvcb,1704969429710,4167747,Coping behavior inventory,Measurement,MAPS_TO,,<auto>,1704898511920,
AD/2399/1,Injury prevention equipment,29,,Paediatric Falls Prevention Care Plan,0.61,FLAGGED,EQUAL,vvcb,1704971920166,4353944,Anesthetic agent concentration in equipment,Measurement,MAPS_TO,,<auto>,1704898512014,
AG/2104/4/1365/6,Does the patient have any of the following conditions?,1,,Wound Assessment (2015),0.28,FLAGGED,EQUAL,vvcb,1704969429710,4198061,Centrifugation following chemical treatment,Measurement,MAPS_TO,,<auto>,1704898512139,
AG/22/4/148/2,Descriptn,3,,Skin Assessment,0.42,FLAGGED,EQUAL,vvcb,1704969306679,4228438,p,Measurement,MAPS_TO,,<auto>,1704898512248,
AG/1084/1/862/2,New Event/Trauma?,1,,Elective Surgery Inpatient Admission Assessment (2015),0.28,FLAGGED,EQUAL,vvcb,1704973472897,4169493,Trauma index,Measurement,MAPS_TO,,<auto>,1704898512467,
AD/43/12,Ur Voided*,2,,Elimination Assessment,0.57,FLAGGED,WIDER,vvcb,1705058657277,4227851,24 hour voided urinary volume,Measurement,MAPS_TO,,<auto>,1704898512592,
AG/2076/8/1690/2,Amt,28,,Output - Drains/Tubes,0.46,FLAGGED,WIDER,vvcb,1705060873454,4019814,Triamterene measurement,Measurement,MAPS_TO,,<auto>,1704898512655,
AD/2126/3,Infectious recent cough Comments,159,,Paediatric Past Surgical & Medical History,0.31,FLAGGED,EQUAL,vvcb,1704971898140,40482252,Measurement of vancomycin trough concentration,Measurement,MAPS_TO,,<auto>,1704898512702,
MC/5585/92/726/29,Give IV Fluids,119,,MANUAL Ward Vital Signs,0.33,FLAGGED,EQUAL,vvcb,1704971564652,4094913,Color of fluid,Measurement,MAPS_TO,,<auto>,1704898513061,
AD/173/10,BP,28,,Lying/Standing BP/Pulse,0.32,APPROVED,WIDER,vvcb,1704962460876,4326744,Blood pressure,Measurement,MAPS_TO,,<auto>,1704898513702,
AG/2005/1/1261/4,Telephone number,2,,Hospital Passport,0.65,FLAGGED,WIDER,vvcb,1705058316447,4307447,Roche number,Measurement,MAPS_TO,,<auto>,1704898513873,
AD/68/8,BMI - Adult,1,,Moving and Handling Assessment (2015),0.58,APPROVED,UNREVIEWED,vvcb,1704962314269,4245997,Body mass index,Measurement,MAPS_TO,,vvcb,1704962309460,
AG/2008/1/1264/7,Taking Medications,3,,Hospital Passport,0.50,FLAGGED,WIDER,vvcb,1705058310720,4280520,Pulse taking,Measurement,MAPS_TO,,<auto>,1704898514186,
AD/1918/2,Cardiovascular/Circulation Care Delivered,1,,NEW Care Plan: Safe Environment/Neurological,0.42,FLAGGED,EQUIVALENT,vvcb,1704962883810,4108719,Cardiovascular pressure,Measurement,MAPS_TO,,<auto>,1704898514217,
RD/5389/89,Have you checked the Red Warning Triangle?,2704,,NHS 111 - A&E Triage (verjul06),0.23,FLAGGED,EQUAL,vvcb,1704971716887,46286305,Listening Checklist,Measurement,MAPS_TO,,<auto>,1704898514327,
RD/5103/10,Summary Of Issues,158,,Additional Medical Entry,0.34,FLAGGED,WIDER,vvcb,1705058304029,4094914,Color of tissue,Measurement,MAPS_TO,,<auto>,1704898514827,
AD/2104/5,Anti Embolism Stocking Care Plan,119,,NEW Care Plan: Anti Embolism Stocking (ClinDoc),0.30,FLAGGED,WIDER,vvcb,1705060873454,607789,Pulmonary Embolism Rule-out Criteria,Measurement,MAPS_TO,,<auto>,1704898515077,
AD/984/1,Patient Age,2,,Moving and Handling Assessment (2015),0.48,FLAGGED,EQUAL,vvcb,1704974990908,37017564,Patient Activation Measure,Measurement,MAPS_TO,,<auto>,1704898515092,
AG/2598/28/1519/9,Comments,28,,NEW Admission Assessment (2023),0.33,FLAGGED,EQUIVALENT,vvcb,1704968870434,4018456,Culture of specimen by commercial kit,Measurement,MAPS_TO,,<auto>,1704898515108,
AG/604/1/63/7,Informant,3,,Allergy/Ht/Wt/BMI - Adult,0.43,FLAGGED,EQUAL,vvcb,1704971920166,4158746,Ross information processing assessment,Measurement,MAPS_TO,,<auto>,1704898515577,
AG/20/24/258/14,Relief Level,2,,A&E Nursing Assessment,0.46,FLAGGED,EQUAL,vvcb,1704975493494,37394445,Uric acid level,Measurement,MAPS_TO,,<auto>,1704898515702,
AG/26/9/250/2,Descriptn,1,,Spinal Cord Assessment,0.42,FLAGGED,EQUAL,vvcb,1704969306679,4228438,p,Measurement,MAPS_TO,,<auto>,1704898515702,
AG/272/1/203/1,Frequency,1,,Nausea/Emesis,0.74,FLAGGED,EQUAL,vvcb,1704971141372,4313591,Respiratory rate,Measurement,MAPS_TO,,<auto>,1704898515717,
RD/6140/5,Who was Contacted,2704,,E/MS Admin Contact Form,0.26,FLAGGED,WIDER,vvcb,1705047479128,4165610,World Health Organization (WHO) orientation handicap scale,Measurement,MAPS_TO,,<auto>,1704898515764,
AG/1286/1/905/9,Witnessed?,158,,Allergy Assessment,0.19,FLAGGED,WIDER,vvcb,1705047427760,4046985,CLASP shortness of breath score,Measurement,MAPS_TO,,<auto>,1704898516045,
AD/1229/1,Status,2,,Moving and Handling Assessment (2015),0.91,FLAGGED,EQUAL,vvcb,1704900030590,4120177,Lymphatic tumor invasion status stages,Measurement,MAPS_TO,,<auto>,1704898516639,
MC/6084/25/370/5,Retailer if known,28,,T/Occupational Therapy Pre-op Assessment,0.31,FLAGGED,EQUAL,vvcb,1704975699472,40484178,Testing for known gene mutation in family member,Measurement,MAPS_TO,,<auto>,1704898516655,
AG/20/24/258/10,Pain Level,158,,Pain Assessment,0.66,APPROVED,EQUAL,vvcb,1704974847016,4234651,Pain level,Observation,MAPS_TO,,vvcb,1704974841717,
AG/930/1/806/1,Hiatus Hernia?,1,,Theatre Pre-Op Adult Assmt (August 2007),0.25,FLAGGED,EQUAL,vvcb,1704971786187,4120177,Lymphatic tumor invasion status stages,Measurement,MAPS_TO,,<auto>,1704898516999,
AG/1064/1/845/18,Notify anaesthetist?,3,,Elective Surgery Inpatient Admission Assessment (2015),0.40,FLAGGED,EQUAL,vvcb,1704973558101,4353943,Anesthetic agent concentration,Measurement,MAPS_TO,,<auto>,1704898517139,
AD/11/4,Glasgow Coma Scale - Adult*,119,,A&E Triage (verjul06),0.87,APPROVED,EQUAL,vvcb,1704900052433,4296538,Glasgow coma scale,Measurement,MAPS_TO,,<auto>,1704898517202,
AG/2076/5/1339/2,Amt,158,,Output - Drains/Tubes,0.46,FLAGGED,WIDER,vvcb,1705060873454,4019814,Triamterene measurement,Measurement,MAPS_TO,,<auto>,1704898517327,
AD/1049/1,Contact Information*,1,,Elective Surgery Inpatient Admission Assessment (2015),0.31,FLAGGED,EQUIVALENT,vvcb,1704968979812,4158746,Ross information processing assessment,Measurement,MAPS_TO,,<auto>,1704898517467,
AD/22/12,Oedema*,28,,Adult Inpatient Admission Assessment,0.17,FLAGGED,EQUAL,vvcb,1704974595475,4133773,Serum C1 esterase inhibitor antigen level,Measurement,MAPS_TO,,<auto>,1704898517655,
